Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (OMA)
Q6R327	RICTR_HUMAN	reviewed	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)	RICTOR KIAA1999	Homo sapiens (Human)	1708	CNVFQCL;
Q8TAI7	REBL1_HUMAN	reviewed	GTPase RhebL1 (Ras homolog enriched in brain like-1 c) (RhebL1c) (Ras homolog enriched in brain-like protein 1) (Rheb-like protein 1) (Rheb2)	RHEBL1	Homo sapiens (Human)	183	GKTRMPV;
Q13541	4EBP1_HUMAN	reviewed	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)	118	PMMTRKI;
Q13542	4EBP2_HUMAN	reviewed	Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2)	EIF4EBP2	Homo sapiens (Human)	120	KNEANNH;
Q9NRI5	DISC1_HUMAN	reviewed	Disrupted in schizophrenia 1 protein	DISC1 KIAA0457	Homo sapiens (Human)	854	
Q9BXL7	CAR11_HUMAN	reviewed	Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1) (Carma 1)	CARD11 CARMA1	Homo sapiens (Human)	1154	PPKRRMN;
P31749	AKT1_HUMAN	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	480	MEVYLTK;
Q8TF40	FNIP1_HUMAN	reviewed	Folliculin-interacting protein 1	FNIP1 KIAA1961	Homo sapiens (Human)	1166	SDVKDQC;
Q2KHT3	CL16A_HUMAN	reviewed	Protein CLEC16A (C-type lectin domain family 16 member A)	CLEC16A KIAA0350	Homo sapiens (Human)	1053	IEMVVME;
Q8NFG4	FLCN_HUMAN	reviewed	Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein)	FLCN BHD	Homo sapiens (Human)	579	CYCALTG;
